Date,cases_AG,cases_AI,cases_AR,cases_BE,cases_BL,cases_BS,cases_FR,cases_GE,cases_GL,cases_GR,cases_JU,cases_LU,cases_NE,cases_NW,cases_OW,cases_SG,cases_SH,cases_SO,cases_SZ,cases_TG,cases_TI,cases_UR,cases_VD,cases_VS,cases_ZG,cases_ZH,cases_CH,fatalities_AG,fatalities_AI,fatalities_AR,fatalities_BE,fatalities_BL,fatalities_BS,fatalities_FR,fatalities_GE,fatalities_GL,fatalities_GR,fatalities_JU,fatalities_LU,fatalities_NE,fatalities_NW,fatalities_OW,fatalities_SG,fatalities_SH,fatalities_SO,fatalities_SZ,fatalities_TG,fatalities_TI,fatalities_UR,fatalities_VD,fatalities_VS,fatalities_ZG,fatalities_ZH,fatalities_CH,hospitalized_AG,hospitalized_AI,hospitalized_AR,hospitalized_BE,hospitalized_BL,hospitalized_BS,hospitalized_FR,hospitalized_GE,hospitalized_GL,hospitalized_GR,hospitalized_JU,hospitalized_LU,hospitalized_NE,hospitalized_NW,hospitalized_OW,hospitalized_SG,hospitalized_SH,hospitalized_SO,hospitalized_SZ,hospitalized_TG,hospitalized_TI,hospitalized_UR,hospitalized_VD,hospitalized_VS,hospitalized_ZG,hospitalized_ZH,hospitalized_CH,icu_AG,icu_AI,icu_AR,icu_BE,icu_BL,icu_BS,icu_FR,icu_GE,icu_GL,icu_GR,icu_JU,icu_LU,icu_NE,icu_NW,icu_OW,icu_SG,icu_SH,icu_SO,icu_SZ,icu_TG,icu_TI,icu_UR,icu_VD,icu_VS,icu_ZG,icu_ZH,icu_CH,released_AG,released_AI,released_AR,released_BE,released_BL,released_BS,released_FR,released_GE,released_GL,released_GR,released_JU,released_LU,released_NE,released_NW,released_OW,released_SG,released_SH,released_SO,released_SZ,released_TG,released_TI,released_UR,released_VD,released_VS,released_ZG,released_ZH,released_CH,vent_AG,vent_AI,vent_AR,vent_BE,vent_BL,vent_BS,vent_FR,vent_GE,vent_GL,vent_GR,vent_JU,vent_LU,vent_NE,vent_NW,vent_OW,vent_SG,vent_SH,vent_SO,vent_SZ,vent_TG,vent_TI,vent_UR,vent_VD,vent_VS,vent_ZG,vent_ZH,vent_CH
2020-02-25,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-26,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-27,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-28,1.0,,,,1.0,0.0,,3.0,,,,,,,,,,,,,,,,1.0,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,3.0,,,9.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-29,,,,,2.0,0.0,,5.0,,,,,,,,,,,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,3.0,,,10.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-01,,,,,2.0,1.0,1.0,7.0,0.0,,,,,,,,,,,,,,,2.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,4.0,,,11.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-02,2.0,,,,2.0,3.0,2.0,7.0,,,,,,,,0.0,,,,,2.0,,,3.0,,2.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,6.0,4.0,,,13.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-03,6.0,,,,2.0,3.0,,9.0,,,1.0,,,,,,,,1.0,,4.0,,,3.0,1.0,9.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.0,,,,,,,,,,,,,,,8.0,5.0,,,17.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-04,7.0,,,,2.0,3.0,4.0,9.0,,,1.0,0.0,,,,1.0,,,3.0,,5.0,,,4.0,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.0,,,,,,,,,,,1.0,,,,11.0,6.0,,,22.0,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-05,9.0,,1.0,,6.0,8.0,6.0,13.0,,,2.0,,,,,,,,,,,,,5.0,3.0,19.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,5.0,,,,,,,,,,,,,,,14.0,3.0,,,23.0,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-06,12.0,,,,6.0,15.0,,17.0,,,3.0,,,,,2.0,,1.0,6.0,,,,23.0,6.0,,26.0,132.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,15.0,3.0,,,26.0,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-07,,,,,15.0,21.0,,26.0,,,4.0,,,,,,,,,,,,30.0,,,30.0,168.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,16.0,,,,27.0,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-08,,,,,19.0,24.0,8.0,35.0,,,4.0,,,,,,,,,,,,40.0,7.0,,37.0,204.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,9.0,,,,,,,,,,,,,,,22.0,3.0,,,35.0,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-09,14.0,,2.0,,20.0,28.0,11.0,44.0,,,5.0,,,,,,,,,,,,51.0,12.0,,40.0,244.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,13.0,,,,,,,,,,,,,,,29.0,7.0,,,50.0,,,,,,,,3.0,,,,,,,,,,,,,,,5.0,1.0,,,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0
2020-03-10,17.0,,,,22.0,33.0,,68.0,,,6.0,,,,,,,,,,,,77.0,17.0,,49.0,319.0,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,5.0,,,,,,,,18.0,,,,,,,,,,,,,,,36.0,8.0,,,63.0,,,,,,,,4.0,,,,,,,,,,,,,,,6.0,1.0,,,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0
2020-03-11,18.0,,,,26.0,37.0,16.0,79.0,,,6.0,,,4.0,,,,,,,,,108.0,22.0,,59.0,394.0,,,,,2.0,,0.0,2.0,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,20.0,,,,,,,,,,,,,,,38.0,11.0,,,70.0,,,,,,,,6.0,,,,,,,,,,,,,,,7.0,1.0,,,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,5.0
2020-03-12,27.0,,5.0,,26.0,73.0,22.0,108.0,,,9.0,,,,,15.0,,,,,180.0,2.0,156.0,30.0,,92.0,759.0,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,1.0,,,,7.0,1.0,,,,,,,23.0,,,,,,,,,,,,,,,43.0,12.0,,,80.0,,,,,,,,6.0,,,,,,,,,,,,,,,8.0,1.0,,,15.0,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,5.0
